f1,f4,f5,f6,f8,f9,f10,f11,f15,f19,class
0.007042,0.02004,0.0625,0.000448,0.243243,0.009709,0.275,0.023343,0.444444,0.012739,0
0.011737,0.008016,0.045139,0,0.108108,0.038835,0.15625,0.016736,0.5,0.012739,0
0.002347,0.002004,0.010417,0,0.027027,0.009709,0.5,0.001542,1,0,0
0.018779,0.026052,0.069444,0.001793,0.108108,0.07767,0.2,0.022242,0.40625,0.012739,0
0.021127,0.01002,0.090278,0.002391,0.135135,0.067961,0.1875,0.04074,0.388889,0.025478,1
0.007042,0.014028,0.013889,0.000149,0.027027,0.019417,0.125,0.003523,0.555556,0.012739,0
0.046948,0.008016,0.138889,0.019426,0.108108,0.174757,0.184211,0.075974,0.284211,0.038217,1
0.030516,0.014028,0.097222,0.002989,0.135135,0.116505,0.202381,0.040299,0.3,0.089172,0
0.021127,0.01002,0.065972,0.001195,0.027027,0.087379,0.132813,0.026206,0.518519,0.038217,0
0.016432,0.018036,0.086806,0,0.081081,0.067961,0.166667,0.056155,0.342857,0.11465,0
0.021127,0.01002,0.059028,0.003885,0.135135,0.058252,0.208333,0.015635,0.333333,0.038217,0
0.007042,0.038076,0.034722,0.000448,0.135135,0.029126,0.5,0.008368,0.583333,0.012739,0
0.002347,0.02004,0.003472,0,0.054054,0.009709,0.5,0.00022,1,0.012739,0
0.021127,0.006012,0.041667,0.002989,0.054054,0.07767,0.203125,0.011892,0.375,0.012739,0
0.044601,0.014028,0.138889,0.019277,0.189189,0.15534,0.234127,0.055494,0.381579,0.076433,0
0.023474,0.026052,0.090278,0,0.189189,0.087379,0.027778,0.024224,0.26,0.038217,0
0.007042,0.004008,0.017361,0,0.027027,0.029126,0,0.007487,0.5,0.012739,0
0.046948,0.014028,0.274306,0.020323,0.135135,0.097087,0.224377,0.18388,0.19375,0.127389,0
0.014085,0.016032,0.020833,0.002241,0.027027,0.058252,0.5,0.001321,0.444444,0.012739,0
0.007042,0.01002,0.038194,0.000149,0.108108,0.009709,0.125,0.009029,0.75,0.038217,1
0.011737,0.014028,0.048611,0.000897,0.189189,0.038835,0.15625,0.015415,0.8,0.050955,0
0.002347,0.002004,0.003472,0,0.027027,0.009709,0.5,0.00022,1,0.012739,0
0.025822,0.014028,0.090278,0,0.054054,0.106796,0.145,0.039859,0.409091,0.012739,0
0.007042,0.01002,0.052083,0.000448,0.135135,0.019417,0.5,0.011231,0.666667,0.025478,0
0.007042,0.01002,0.024306,0.000149,0.108108,0.029126,0.125,0.006386,0.666667,0.012739,0
0.037559,0.03006,0.225694,0.011357,0.405405,0.126214,0.23,0.106364,0.311111,0.11465,1
0.00939,0.024048,0.017361,0,0.108108,0.029126,0.083333,0.003964,0.4375,0.012739,0
0.035211,0.022044,0.225694,0.011207,0.297297,0.106796,0.173469,0.097556,0.295238,0.063694,0
0.025822,0.006012,0.083333,0.00254,0.081081,0.097087,0.167857,0.068047,0.545455,0.140127,0
0.004695,0.002004,0.010417,0.000149,0,0.019417,0.5,0.001542,0.75,0.012739,0
0.035211,0.018036,0.142361,0,0.243243,0.145631,0.169643,0.044924,0.225,0.025478,0
0.032864,0.022044,0.100694,0.012702,0.216216,0.106796,0.144231,0.023783,0.321429,0.050955,0
0.06338,0.016032,0.350694,0.023461,0.081081,0.145631,0.206197,0.283198,0.183761,0.050955,1
0.011737,0.016032,0.079861,0.000598,0.216216,0.048544,0.1875,0.054834,0.8,0.012739,0
0.007042,0.004008,0.010417,0.000448,0,0.029126,0.375,0.000881,0.666667,0.012739,0
0.00939,0.01002,0.065972,0.000897,0.135135,0.038835,0.5,0.012552,0.625,0.025478,0
0.014085,0.004008,0.038194,0.000448,0.027027,0.038835,0.15,0.011671,0.666667,0.012739,0
0.129108,0.04008,0.368056,0.196204,0.324324,0.087379,0.239138,0.249505,0.195455,0.127389,0
0.007042,0.008016,0.065972,0.000448,0.108108,0.019417,0.5,0.029949,0.666667,0.025478,0
0.018779,0.008016,0.076389,0,0.108108,0.058252,0.107143,0.037216,0.625,0.089172,0
0.025822,0.002004,0.079861,0.005828,0,0.097087,0.120833,0.029949,0.348485,0.012739,0
0.023474,0.02004,0.100694,0.006426,0.081081,0.07767,0.208333,0.02004,0.2,0.038217,0
0.002347,0.002004,0.006944,0,0.027027,0.009709,0.5,0.000881,1,0,0
0.007042,0.024048,0.076389,0.000448,0.27027,0.019417,0.375,0.015856,1,0.012739,0
0.021127,0.064128,0.125,0.00538,0,0.067961,0.276042,0.061881,0.25,0.140127,0
0.016432,0.048096,0.027778,0.000448,0,0.067961,0.166667,0.009469,0.714286,0.012739,0
0.021127,0.008016,0.065972,0.004483,0.081081,0.067961,0.125,0.028628,0.666667,0.050955,0
0.147887,0.122244,0.5,0.23954,0.27027,0.300971,0.218572,0.507157,0.21371,0.44586,1
0.014085,0.04008,0.045139,0.001046,0.081081,0.029126,0.1,0.012332,0.433333,0.012739,0
0.004695,0.012024,0.006944,0.000149,0,0.019417,0.5,0.00044,0.666667,0.012739,0
0.051643,0.01002,0.163194,0.02376,0.135135,0.184466,0.22619,0.080379,0.361905,0.11465,0
0.039906,0.018036,0.118056,0.017633,0.189189,0.165049,0.24375,0.03017,0.270588,0.025478,1
0.028169,0.03006,0.34375,0.00269,0.378378,0.07767,0.206612,0.177054,0.277778,0.229299,1
0.023474,0.006012,0.104167,0.004035,0.054054,0.048544,0.190476,0.053953,0.283333,0.025478,0
0.004695,0.018036,0.069444,0.000149,0.189189,0.009709,0.5,0.028188,0.625,0.11465,1
0.100939,0.0501,0.416667,0.067394,0.432432,0.291262,0.223344,0.202599,0.146825,0.191083,1
0.051643,0.074148,0.152778,0.027346,0.162162,0.067961,0.130952,0.059678,0.198864,0.038217,0
0.079812,0.03006,0.232639,0.044082,0.297297,0.281553,0.210744,0.129046,0.173203,0.063694,1
