f1,f4,f5,f6,f8,f9,f10,f11,f15,f19,class
0.03012,0.015625,0.031056,0,0.092105,0.025478,0.125,0.020703,0.36,0.030303,0
0.024096,0.006696,0.015528,0.000294,0.026316,0.019108,0.333333,0.008185,0.5,0.030303,0
0.120482,0.058036,0.295031,0.010575,0.342105,0.082803,0.421053,0.208474,0.197368,0.090909,0
0.018072,0.017857,0.068323,0.00022,0.078947,0.012739,1,0.079442,0.666667,0.454545,1
0.048193,0.055804,0.062112,0.001616,0.039474,0.038217,0.285714,0.084738,0.25,0.030303,1
0.018072,0.013393,0.009317,0.00022,0.026316,0.019108,1,0.001444,1,0.030303,0
0.006024,0,0.006211,0,0,0,1,0.004333,1,0,0
0.036145,0.020089,0.052795,0.001102,0.092105,0.038217,1,0.022147,0.333333,0.121212,1
0,0,0,0,0,0,1,0,0,0,0
0.024096,0.015625,0.024845,0.000441,0.092105,0.019108,1,0.010592,0.375,0.030303,0
0.060241,0.024554,0.062112,0.003305,0.131579,0.057325,1,0.025036,0.15,0.030303,1
0.060241,0.022321,0.102484,0.001836,0.131579,0.044586,0.111111,0.079442,0.3,0.090909,0
0.138554,0.029018,0.152174,0.014761,0.171053,0.133758,0.459091,0.128069,0.176768,0.030303,0
0.048193,0.040179,0.102484,0.001616,0.236842,0.044586,0.071429,0.067886,0.3125,0.030303,0
0.054217,0.006696,0.046584,0.000441,0.039474,0.050955,0.21875,0.03948,0.416667,0.090909,1
0.018072,0.017857,0.049689,0.00022,0.078947,0.012739,1,0.046221,0.533333,0.090909,0
0.060241,0.013393,0.083851,0.000367,0.065789,0.050955,0.263889,0.080886,0.25,0.090909,1
0.048193,0.015625,0.102484,0.001909,0.092105,0.006369,0.285714,0.199807,0.390625,0.242424,0
0.024096,0.037946,0.024845,0.000441,0.078947,0.025478,1,0.025518,0.45,0.151515,0
0.012048,0.006696,0.015528,0.000073,0.026316,0.012739,1,0.008185,0.666667,0.060606,0
0.084337,0.013393,0.055901,0.00448,0.065789,0.089172,0.415385,0.038999,0.297619,0.030303,0
0.096386,0.017857,0.111801,0.004553,0.078947,0.070064,0.36,0.088589,0.229167,0.121212,0
0.024096,0.147321,0.024845,0.000441,0,0.025478,0.666667,0.010111,0.666667,0,0
0.036145,0.008929,0.031056,0.000073,0.026316,0.038217,0.3,0.024073,0.5,0.060606,0
0.018072,0.006696,0.062112,0.00022,0.026316,0.019108,1,0.061146,0.666667,0.393939,0
0.066265,0.024554,0.052795,0.001836,0.144737,0.050955,0.383333,0.035147,0.25,0.030303,1
0.012048,0.004464,0.006211,0.000073,0.013158,0.012739,1,0.000963,1,0.030303,0
0.018072,0.004464,0.012422,0.000073,0.013158,0.019108,0.25,0.007222,0.666667,0.030303,1
0.018072,0.013393,0.012422,0.00022,0.052632,0.019108,1,0.004815,0.555556,0.030303,1
0.03012,0.013393,0.046584,0.000734,0.052632,0.025478,1,0.028888,0.45,0.060606,0
0.198795,0.037946,0.102484,0.038775,0.078947,0.210191,1,0.015888,0.387205,0.030303,1
0.018072,0.011161,0.009317,0.00022,0.052632,0.019108,1,0.001444,0.777778,0.030303,0
0.042169,0.071429,0.189441,0,0.421053,0.019108,0.316667,0.098219,0.416667,0.030303,0
0.048193,0.029018,0.102484,0,0.157895,0.019108,0.232143,0.14155,0.371429,0.060606,1
0.018072,0.011161,0.021739,0.00022,0.065789,0.019108,1,0.009148,0.533333,0.030303,0
0.066265,0.03125,0.195652,0.000514,0.184211,0.031847,0.175,0.200289,0.25,0.333333,0
0.012048,0.011161,0.021739,0.000073,0.039474,0.006369,1,0.011555,0.666667,0.030303,1
0.006024,0.020089,0.003106,0,0.065789,0.006369,1,0.000481,1,0.030303,0
0.024096,0.008929,0.031056,0,0.039474,0.025478,0,0.018777,0.583333,0.030303,1
0.072289,0.049107,0.074534,0.002203,0.105263,0.063694,0.25,0.054887,0.22619,0.060606,0
0.084337,0.046875,0.13354,0.004333,0.171053,0.082803,0.320513,0.100144,0.261538,0.090909,0
0.024096,0.029018,0.031056,0,0.026316,0.019108,0.416667,0.018777,0.625,0.030303,1
0.018072,0.017857,0.046584,0.00022,0.105263,0.006369,1,0.023592,0.666667,0.030303,0
0.006024,0.015625,0.003106,0,0,0.006369,1,0.000481,1,0.030303,0
0.012048,0.006696,0.031056,0,0.026316,0.006369,0,0.021184,0.75,0.060606,0
0.036145,0.046875,0.167702,0.000661,0.25,0.019108,0.2,0.148772,0.457143,0.121212,0
0.006024,0.004464,0.009317,0,0.013158,0.006369,1,0.00337,1,0,0
0.042169,0.017857,0.024845,0.001102,0.105263,0.044586,0.361111,0.021666,0.357143,0.030303,0
0.018072,0.020089,0.055901,0,0.092105,0.012739,0.25,0.029369,0.666667,0.030303,0
0.090361,0.033482,0.090062,0.003305,0.144737,0.076433,0.357143,0.08233,0.35,0.090909,0
0.006024,0,0.003106,0,0,0.006369,1,0.000481,1,0.030303,0
0.03012,0.020089,0.02795,0.000294,0.118421,0.012739,0.375,0.017333,0.3,0.030303,0
0.024096,0.015625,0.052795,0.000441,0.078947,0.025478,1,0.018777,0.625,0.030303,0
