f1,f4,f5,f6,f8,f9,f10,f11,f15,f19,class
0.095745,0.018382,0.129032,0,0.075472,0.104651,0,0.201705,0.37037,0.034483,0
0.287234,0.022059,0.145161,0.080486,0.09434,0.313953,1,0.025568,0.412037,0.034483,1
0.095745,0.011029,0.096774,0.006879,0.037736,0.093023,0.1875,0.077652,0.355556,0.034483,0
0.074468,0.099265,0.268817,0.001605,0.509434,0.034884,0.402778,0.1875,0.416667,0.034483,0
0.085106,0.036765,0.150538,0,0.169811,0.034884,0.178571,0.212121,0.371429,0.068966,1
0.042553,0.033088,0.064516,0.000459,0.132075,0.034884,0.333333,0.049242,0.4,0.034483,0
0.042553,0.036765,0.091398,0.000459,0.169811,0.034884,0.333333,0.067235,0.833333,0.034483,0
0.021277,0.007353,0.026882,0.000229,0.018868,0.011628,1,0.020833,0.5,0.103448,1
0.191489,0.426471,0.096774,0.035084,0,0.209302,1,0.017045,0.666667,0.034483,0
0.095745,0.011029,0.107527,0.002752,0.018868,0.081395,0.3125,0.094697,0.541667,0.137931,0
0.074468,0.011029,0.091398,0,0.018868,0.081395,0.305556,0.0625,0.392857,0.068966,0
0.074468,0.040441,0.05914,0.00344,0.188679,0.069767,0.25,0.041667,0.265306,0.034483,1
0.138298,0.044118,0.198925,0.009631,0.169811,0.151163,0.305556,0.16572,0.276923,0.103448,1
0.06383,0.033088,0.166667,0.001147,0.169811,0.034884,0.25,0.135417,0.305556,0.034483,0
0.212766,0.058824,0.397849,0.015593,0.283019,0.127907,0.432331,0.508523,0.173684,0.413793,1
0.021277,0.029412,0.037634,0,0.037736,0.023256,0.5,0.02178,0.666667,0.034483,1
0.06383,0.029412,0.080645,0.00344,0.113208,0.069767,1,0.039773,0.416667,0.034483,1
0.148936,0.014706,0.134409,0.007108,0.075472,0.162791,0.317308,0.132576,0.3,0.034483,1
0.021277,0.007353,0.032258,0,0.018868,0.023256,0.5,0.020833,0.666667,0.034483,0
0.074468,0.025735,0.134409,0,0.113208,0.05814,0.083333,0.144886,0.357143,0.137931,1
0.031915,0.014706,0.053763,0.000688,0.056604,0.023256,1,0.030303,0.666667,0.034483,1
0.202128,0.080882,0.172043,0.030498,0.358491,0.209302,0.322222,0.164773,0.157895,0.068966,0
0.212766,0.007353,0.112903,0.043568,0.018868,0.232558,1,0.047348,0.4875,0.034483,0
0.085106,0.025735,0.172043,0.006421,0.132075,0.046512,1,0.224432,0.625,0.37931,1
0.053191,0.014706,0.032258,0.001376,0.018868,0.034884,0.375,0.022727,1,0.034483,0
0.06383,0.018382,0.086022,0.001605,0.09434,0.023256,0.35,0.055871,0.36,0.068966,0
0.031915,0.003676,0.026882,0.000688,0.018868,0.034884,1,0.011364,0.666667,0.034483,0
0.202128,0.117647,0.204301,0.031873,0.207547,0.186047,0.411111,0.204545,0.175439,0.172414,1
0,0.003676,0,0,0,0,1,0,0,0,0
0.202128,0.025735,0.188172,0.031415,0.113208,0.186047,0.428571,0.173295,0.157895,0.068966,0
0.06383,0.022059,0.037634,0.00344,0.09434,0.069767,1,0.013258,0.361111,0.034483,1
0.031915,0.014706,0.032258,0,0.037736,0.023256,0.25,0.03125,0.666667,0.068966,1
0,0.003676,0,0,0,0,1,0,0,0,0
0.021277,0.011029,0.026882,0.000229,0.037736,0.023256,1,0.016098,0.666667,0.068966,0
0.148936,0.022059,0.096774,0.013988,0.09434,0.162791,0.415385,0.076705,0.297619,0.034483,0
0.212766,0.371324,0.290323,0.038523,0.09434,0.139535,0.477444,0.333333,0.219298,0.103448,0
0.191489,0.033088,0.236559,0.019491,0.150943,0.116279,0.369748,0.229167,0.205882,0.172414,1
0.042553,0.180147,0.043011,0.001376,0,0.046512,0.666667,0.019886,0.666667,0,1
0.06383,0.014706,0.053763,0.000229,0.037736,0.069767,0.3,0.047348,0.5,0.068966,0
0.021277,0.007353,0.102151,0.000229,0.018868,0.023256,1,0.114583,0.666667,0.448276,1
0.095745,0.014706,0.086022,0,0.018868,0.104651,0.28125,0.11553,0.555556,0.137931,0
0.095745,0.040441,0.075269,0.005962,0.207547,0.069767,0.416667,0.053977,0.229167,0.034483,1
0.053191,0.022059,0.053763,0.000459,0.113208,0.046512,0.25,0.041667,0.583333,0.068966,0
0.031915,0.018382,0.021505,0.000688,0.056604,0.034884,1,0.00947,0.666667,0.034483,1
0.031915,0.014706,0.016129,0.000688,0.018868,0.034884,1,0.002841,0.833333,0.034483,0
0.117021,0.022059,0.11828,0.009402,0.113208,0.127907,0.416667,0.09375,0.393939,0.172414,0
0.106383,0.014706,0.102151,0.001605,0.056604,0.104651,0.333333,0.113636,0.425,0.034483,0
0.031915,0.003676,0.026882,0.000688,0.018868,0.034884,1,0.011364,0.666667,0.034483,0
0.06383,0.022059,0.091398,0,0.09434,0.046512,0.2,0.080492,0.4,0.034483,0
0.12766,0.025735,0.086022,0.010548,0.132075,0.127907,0.397727,0.078598,0.266667,0.068966,0
0.095745,0.147059,0.123656,0.007338,0.037736,0.081395,0.4875,0.227273,0.375,0.137931,1
0.010638,0.018382,0.021505,0,0.037736,0.011628,1,0.008523,1,0,0
0.234043,0.007353,0.225806,0.043339,0.018868,0.255814,0.420635,0.172348,0.171717,0.241379,1
0.042553,0.014706,0.043011,0,0.037736,0.046512,0,0.026515,0.75,0.034483,1
0.010638,0,0.010753,0,0,0.011628,1,0.020833,1,0,0
0.234043,0.073529,0.349462,0.034625,0.339623,0.174419,0.42328,0.379735,0.155844,0.344828,1
0.031915,0.007353,0.080645,0.000688,0.018868,0,1,0.059659,0.5,0.034483,0
0.074468,0.022059,0.091398,0.002064,0.09434,0.046512,0.375,0.071023,0.333333,0.068966,1
0.074468,0.025735,0.069892,0,0.075472,0.05814,0.083333,0.038826,0.47619,0.034483,0
0.053191,0.018382,0.026882,0.002293,0.037736,0.05814,1,0.004735,0.55,0.034483,1
0.021277,0.007353,0.037634,0,0.018868,0.023256,0,0.023674,0.666667,0.034483,0
0.393617,0.077206,0.327957,0.137125,0.358491,0.395349,0.46627,0.317235,0.143939,0.206897,1
0.031915,0.014706,0.026882,0.000688,0.075472,0.034884,1,0.017045,0.833333,0.034483,0
0.074468,0.080882,0.05914,0.000229,0.09434,0.05814,0.166667,0.03125,0.357143,0.034483,0
0.297872,0.051471,0.311828,0.06925,0.169811,0.302326,0.401235,0.286932,0.146104,0.103448,1
0.06383,0.022059,0.102151,0.002981,0.113208,0.069767,0.2,0.101326,0.416667,0.137931,0
0.148936,0.025735,0.139785,0.018115,0.09434,0.139535,0.394231,0.111742,0.25641,0.103448,1
0.148936,0.014706,0.112903,0.020867,0.075472,0.151163,0.269231,0.099432,0.964286,0.068966,1
0.042553,0.003676,0.048387,0,0,0.046512,0,0.025568,1,0.034483,0
0.095745,0.018382,0.096774,0.006421,0.075472,0.05814,0.333333,0.097538,0.31746,0.068966,0
0.010638,0.011029,0.005376,0,0.018868,0.011628,1,0.000947,1,0.034483,0
0.085106,0.025735,0.123656,0.00321,0.132075,0.081395,0.321429,0.095644,0.326531,0.034483,1
0.095745,0.069853,0.317204,0.003669,0.320755,0.069767,0.270833,0.361742,0.347222,0.206897,0
0.159574,0.047794,0.188172,0.013529,0.226415,0.05814,0.410714,0.178977,0.222222,0.137931,0
0,0.003676,0,0,0,0,1,0,0,0,0
0.010638,0.003676,0.010753,0,0.018868,0.011628,1,0.005682,1,0,0
0.031915,0.018382,0.032258,0.000229,0.056604,0.034884,0,0.029356,0.5,0.034483,0
0.053191,0.014706,0.053763,0.002293,0.075472,0.023256,1,0.023674,0.4,0.034483,0
