f1,f4,f5,f6,f8,f9,f10,f11,f15,f19,class
0.032663,0.049689,0.090535,0.005319,0.125,0.065089,0.384615,0.018159,0.294872,0.04908,0
0.015075,0.018634,0.041152,0,0.0625,0,0.270833,0.012806,0.333333,0.09816,0
0.012563,0.012422,0.020576,0.000785,0.0625,0.029586,0.3,0.004797,0.333333,0.030675,0
0.012563,0.093168,0.026749,0.000262,0.166667,0.029586,0.333333,0.003897,0.444444,0.006135,0
0.01005,0.024845,0.04321,0,0.083333,0,0.0625,0.00878,0.35,0.067485,0
0.007538,0.055901,0.041152,0.000174,0.166667,0.017751,0.277778,0.007409,0.5,0.006135,0
0.017588,0.031056,0.037037,0,0.083333,0.035503,0.142857,0.006681,0.40625,0.01227,0
0.007538,0.006211,0.012346,0,0.020833,0.017751,0.111111,0.002613,0.666667,0.018405,0
0.01005,0.024845,0.00823,0.000872,0.020833,0.029586,1,0.000171,1,0.006135,0
0.007538,0,0.020576,0.000523,0.020833,0,1,0.00394,0.571429,0.030675,0
0.022613,0.062112,0.024691,0.0034,0.0625,0.047337,0.388889,0.001371,0.25,0.006135,1
0.01005,0.080745,0.053498,0.000872,0.25,0.005917,0.535714,0.007752,0.72,0.006135,0
0.133166,0.248447,0.358025,0.103148,0.5625,0.147929,0.465167,0.060988,0.122896,0.067485,1
0.01005,0.031056,0.102881,0.000523,0.104167,0.017751,0.375,0.011093,1,0.018405,1
0.025126,0.037267,0.059671,0.00218,0.125,0.053254,0.416667,0.008437,0.386364,0.02454,0
0.125628,0.354037,0.269547,0.080652,0.4375,0.248521,0.388235,0.062401,0.144,0.202454,0
0.042714,0.124224,0.253086,0.010201,0.416667,0.035503,0.385621,0.032592,0.1875,0.042945,1
0.015075,0.031056,0.028807,0.000785,0.083333,0.04142,0.361111,0.002698,0.357143,0.006135,0
0.005025,0.018634,0.045267,0.000087,0.0625,0.005917,0.25,0.014091,1,0.018405,1
0.527638,0.360248,0.882716,1,0.8125,1,0.441639,0.325967,0.084392,0.153374,1
0.095477,0.428571,0.294239,0.063214,0.4375,0.201183,0.477632,0.063857,0.135965,0.09816,1
0,0.186335,0,0,0.020833,0.005917,1,0,1,0.006135,0
0.007538,0.024845,0.030864,0.000174,0,0.011834,0.541667,0.007623,0.333333,0.122699,1
0.027638,0.037267,0.115226,0.004534,0.145833,0.059172,0.354545,0.011906,0.277778,0.018405,1
0.045226,0.186335,0.269547,0.00497,0.458333,0.071006,0.297619,0.035419,0.210526,0.128834,1
0.012563,0.173913,0.026749,0.00061,0.020833,0.035503,0.3,0.002056,0.583333,0.006135,0
0.015075,0.049689,0.117284,0.000436,0.166667,0.005917,0.366667,0.012806,0.5,0.030675,1
