f1,f4,f5,f6,f8,f9,f10,f11,f15,f19,class
0.081633,0.05,0.125,0.008721,0.066667,0.095238,1,0.084184,0.357143,0.130435,0
0.040816,0,0.03125,0.001453,0,0.047619,1,0.005102,0.5,0.043478,0
0.163265,0.1,0.229167,0,0.2,0.190476,0.071429,0.14966,0.40625,0.217391,0
0.163265,0.116667,0.25,0.017442,0.4,0.190476,0.468254,0.152211,0.333333,0.304348,0
0.204082,0.566667,0.135417,0.065407,0.133333,0.214286,0.5,0.02381,0.407407,0.043478,0
0.244898,0.166667,0.364583,0.034884,0.666667,0.261905,0.497067,0.451531,0.366667,1,1
0.040816,0.066667,0.041667,0.001453,0.2,0.02381,1,0.008503,0.75,0.043478,0
0.102041,0.016667,0.145833,0.011628,0.066667,0.047619,0.4375,0.038265,0.333333,0.043478,0
0.040816,0.066667,0.114583,0,0.2,0.02381,0,0.056973,0.666667,0.217391,0
0.061224,0,0.145833,0.00436,0,0.047619,1,0.113095,0.333333,0.173913,0
0.122449,0.05,0.09375,0.013081,0.133333,0.142857,0.433333,0.037415,0.458333,0.086957,1
0.163265,0.116667,0.260417,0,0.333333,0.190476,0.397959,0.184524,0.40625,0.217391,0
0.081633,0.033333,0.125,0.005814,0.133333,0.047619,0.416667,0.032313,0.333333,0.043478,0
0.061224,0.133333,0.03125,0.00436,0,0.071429,1,0.002551,0.666667,0.043478,0
0.285714,0.333333,0.4375,0.132267,0.733333,0.214286,0.525641,0.210034,0.134615,0.130435,1
0.081633,0.116667,0.260417,0,0.266667,0.047619,0.366667,0.090136,0.416667,0.086957,0
0.122449,0.05,0.260417,0.018895,0.2,0.047619,0.35,0.171769,0.277778,0.086957,0
0.061224,0.033333,0.083333,0.001453,0.133333,0.047619,0.375,0.035714,0.625,0.043478,0
0.183673,0.05,0.354167,0.049419,0.2,0.047619,0.4375,0.142007,0.175,0.130435,0
0.040816,0.05,0.208333,0.001453,0.2,0.047619,1,0.072279,0.5,0.26087,0
0.102041,0.016667,0.072917,0.011628,0,0.071429,0.375,0.018707,0.75,0.043478,0
0.265306,0.166667,0.4375,0,0.533333,0.261905,0.364583,0.245748,0.247863,0.217391,1
0.387755,0.333333,0.322917,0.190407,0.6,0.428571,0.454861,0.153912,0.210526,0.173913,0
0.142857,0.1,0.3125,0.024709,0.4,0.047619,0.375,0.122449,0.277778,0.086957,0
0.244898,0.2,0.427083,0,0.133333,0.214286,0.333333,0.233844,0.090909,0.26087,1
0.081633,0.15,0.125,0,0.066667,0.095238,0,0.048469,0.5,0.086957,0
0.081633,0.016667,0.114583,0.002907,0,0.047619,0.388889,0.051871,0.5,0.26087,0
0.081633,0.05,0.197917,0.008721,0.2,0.047619,0.333333,0.057823,0.333333,0.086957,0
0.204082,0.666667,0.135417,0.021802,0,0.190476,0.405983,0.143707,0.333333,0.304348,1
0.102041,0.083333,0.09375,0,0.133333,0.119048,0,0.036565,0.4,0.043478,0
0.122449,0.116667,0.21875,0,0.133333,0.119048,0.45,0.232993,0.466667,0.217391,1
0.142857,0.466667,0.166667,0.013081,0.066667,0.142857,0.5,0.077381,0.333333,0.130435,1
0.163265,0.05,0.145833,0,0.066667,0.190476,0.285714,0.12415,0.416667,0.130435,0
0.183673,0.883333,0.28125,0.02907,0.266667,0.142857,0.447115,0.128401,0.232143,0.130435,1
0.081633,0,0.15625,0.008721,0,0.095238,1,0.062075,0.333333,0.043478,1
0.122449,0.116667,0.458333,0.018895,0.466667,0.095238,0.425,0.176871,0.3,0.130435,0
0.061224,0.016667,0.072917,0,0.066667,0.047619,0,0.019558,0.555556,0.043478,0
0.122449,0.083333,0.25,0.013081,0.333333,0.142857,0.46,0.204932,0.444444,0.217391,1
0.061224,0.066667,0.0625,0.00436,0.2,0.071429,1,0.021259,0.833333,0.086957,0
0.142857,0.083333,0.364583,0.021802,0.333333,0.047619,0.375,0.152211,0.25,0.086957,1
0.408163,0.283333,0.479167,0.084302,0.533333,0.357143,0.324561,0.35119,0.2375,0.304348,1
0.081633,0.05,0.114583,0.005814,0.133333,0.047619,0.333333,0.027211,0.5,0.043478,0
0.387755,0.166667,0.71875,0.1875,0.533333,0.309524,0.442982,0.57398,0.233083,0.478261,0
0.204082,0.033333,0.385417,0.03343,0.133333,0.166667,0.416667,0.255952,0.2,0.173913,0
0.204082,0.1,0.34375,0.047965,0.4,0.214286,0.466667,0.272959,0.325,0.217391,1
0.102041,0,0.145833,0.005814,0,0.047619,0.125,0.068027,0.25,0.086957,0
0.040816,0.05,0.229167,0.001453,0.133333,0.047619,1,0.108844,0.75,0.217391,0
0.102041,0.033333,0.1875,0.011628,0.066667,0.119048,0.375,0.07483,0.45,0.043478,0
1,1,1,1,0.8,1,0.414474,0.680272,0.150641,0.26087,1
0,0.016667,0,0,0,0,1,0,0,0,0
0,0.033333,0,0,0.066667,0,1,0,0,0,0
0.163265,0,0.104167,0.040698,0,0.190476,1,0.017857,0.46875,0.043478,0
0.204082,0.116667,0.28125,0.042151,0.466667,0.190476,0.455556,0.123299,0.555556,0.130435,0
0.183673,0.366667,0.09375,0.052326,0.266667,0.214286,1,0.007653,0.259259,0.043478,1
0.081633,0.033333,0.09375,0,0.066667,0.047619,0.5,0.052721,0.555556,0.173913,0
0.142857,0.1,0.229167,0.015988,0.4,0.071429,0.333333,0.090986,0.375,0.086957,0
0.285714,0.1,0.270833,0.12064,0.333333,0.238095,0.435897,0.133503,0.384615,0.173913,1
0.040816,0.066667,0.125,0,0.266667,0.047619,0,0.058673,0.666667,0.086957,0
0.040816,0.066667,0.052083,0.001453,0.266667,0.02381,1,0.011905,0.75,0.043478,0
0.020408,0.033333,0.020833,0,0.066667,0,1,0.003401,1,0,0
0.265306,0.15,0.645833,0.075581,0.6,0.190476,0.469907,0.381803,0.346154,0.434783,1
0.142857,0.066667,0.333333,0.024709,0.266667,0.047619,0.333333,0.131803,0.277778,0.086957,0
0.081633,0.05,0.083333,0,0.2,0.095238,0.458333,0.064626,0.5,0.26087,0
0.102041,0,0.166667,0,0,0.047619,0.104167,0.227891,0.333333,0.173913,0
0.122449,0.15,0.104167,0.010174,0.133333,0.047619,0.36,0.147959,0.44,0.26087,0
0.387755,0.466667,0.822917,0.222384,0.933333,0.214286,0.469907,0.641156,0.25731,0.434783,1
0.102041,0.016667,0.177083,0.014535,0.066667,0.095238,1,0.04932,0.666667,0.043478,0
0.081633,0.033333,0.052083,0.008721,0.133333,0.095238,1,0.010204,0.5,0.043478,0
0.204082,0.116667,0.28125,0.042151,0.466667,0.190476,0.455556,0.123299,0.777778,0.130435,1
0.081633,0.083333,0.25,0.005814,0.333333,0.047619,0.416667,0.070578,0.333333,0.043478,0
0.265306,0.016667,0.364583,0,0.066667,0.261905,0.041667,0.20068,0.297619,0.043478,0
0.163265,0.116667,0.4375,0.020349,0.466667,0.047619,0.375,0.261905,0.238095,0.173913,0
0.102041,0,0.15625,0.011628,0,0.02381,0.416667,0.407313,0.3125,0.304348,0
0.265306,0.066667,0.416667,0.011628,0.266667,0.047619,0.348958,0.438776,0.15,0.304348,0
0.44898,0.316667,0.989583,0.324128,1,0.190476,0.506803,1,0.21645,0.478261,1
0.122449,0.1,0.125,0.018895,0.2,0.142857,0.4,0.045918,0.444444,0.043478,0
0.102041,0.133333,0.0625,0.014535,0.133333,0.119048,0.625,0.011054,0.466667,0.043478,1
0.061224,0.15,0.104167,0,0.066667,0.02381,0,0.041667,1,0.043478,0
0.285714,0.133333,0.447917,0.059593,0.4,0.238095,0.423077,0.305272,0.244898,0.26087,1
0.081633,0.066667,0.125,0.008721,0,0.095238,0.666667,0.094388,0.357143,0.26087,0
0.142857,0.05,0.260417,0.024709,0.2,0.047619,0.416667,0.089286,0.277778,0.086957,0
0.020408,0.133333,0.010417,0,0,0.02381,1,0.00085,1,0.043478,0
0.122449,0.066667,0.3125,0.013081,0.266667,0.047619,0.333333,0.122449,0.333333,0.086957,0
0.081633,0.05,0.083333,0,0.133333,0.095238,0.166667,0.032313,0.4,0.043478,0
0.102041,0.016667,0.177083,0,0.066667,0.047619,0.25,0.138605,0.25,0.130435,0
0.204082,0.083333,0.364583,0.036337,0.333333,0.166667,0.380952,0.231293,0.361111,0.217391,0
0.020408,0.05,0.010417,0,0.066667,0.02381,1,0.00085,1,0.043478,0
0.020408,0.133333,0.010417,0,0.066667,0.02381,1,0.00085,1,0.043478,0
0.163265,0.1,0.510417,0.008721,0.4,0.047619,0.333333,0.330782,0.257143,0.130435,1
0.163265,0.25,0.427083,0.011628,0.933333,0.047619,0.478022,0.587585,0.375,0.913043,1
0.020408,0.083333,0.010417,0,0.066667,0.02381,1,0.00085,1,0.043478,0
0.040816,0.033333,0.041667,0.001453,0.066667,0.02381,1,0.006803,0.75,0.043478,0
0.183673,0.066667,0.385417,0.011628,0.266667,0.166667,0.411458,0.267007,0.21875,0.304348,0
0.102041,0.05,0.1875,0.005814,0.2,0.071429,0.25,0.064626,0.36,0.173913,0
0.122449,0.083333,0.0625,0.021802,0.066667,0.142857,1,0.005102,0.555556,0.043478,0
0.040816,0.25,0.020833,0.001453,0.066667,0.047619,1,0.001701,0.75,0.043478,0
0.102041,0.116667,0.322917,0.014535,0.466667,0.047619,0.4375,0.123299,0.3,0.130435,0
0.081633,0.1,0.208333,0,0.333333,0.095238,0.533333,0.065476,0.625,0.130435,0
0.102041,0.116667,0.427083,0.002907,0.466667,0.119048,0.1875,0.212585,0.4,0.130435,0
0.142857,0.05,0.28125,0.007267,0.2,0.047619,0.283333,0.166667,0.333333,0.173913,1
0.102041,0.133333,0.270833,0.014535,0.533333,0.047619,1,0.431973,0.266667,0.130435,0
0.040816,0.066667,0.15625,0,0.2,0.047619,0.125,0.065476,0.666667,0.086957,0
0.265306,0.366667,0.5625,0.110465,0.4,0.238095,0.430556,0.456633,0.183333,0.478261,1
0.081633,0,0.104167,0.005814,0,0.071429,0.166667,0.096939,0.333333,0.173913,0
0.102041,0.133333,0.458333,0.011628,0.466667,0.071429,0.4375,0.245748,0.3,0.130435,0
0.183673,0.083333,0.197917,0.014535,0.133333,0.166667,0.1875,0.102041,0.4375,0.173913,0
0.040816,0.116667,0.072917,0.001453,0.466667,0.047619,1,0.012755,0.666667,0.043478,0
0.142857,0.066667,0.135417,0,0.066667,0.166667,0.183333,0.20068,0.52381,0.26087,1
0.040816,0.066667,0.041667,0.001453,0.133333,0.02381,1,0.008503,0.75,0.043478,0
0.081633,0.05,0.104167,0,0.133333,0.095238,0.25,0.034864,0.5,0.043478,0
0.081633,0.05,0.104167,0,0.133333,0.071429,0,0.031463,0.583333,0.043478,0
0.244898,0.15,0.40625,0.020349,0.6,0.285714,0.431818,0.147959,0.375,0.173913,1
0.081633,0.05,0.15625,0.005814,0.066667,0.095238,0.166667,0.068027,0.357143,0.086957,0
0.081633,0.116667,0.28125,0.005814,0.466667,0.047619,0.333333,0.113946,0.333333,0.130435,0
0.040816,0.033333,0.166667,0.001453,0.133333,0.047619,1,0.085034,0.75,0.130435,0
0.142857,0.066667,0.302083,0.024709,0.266667,0.047619,0.333333,0.130952,0.333333,0.086957,0
0.142857,0.033333,0.25,0.021802,0.133333,0.047619,0.305556,0.09949,0.277778,0.086957,0
0.142857,0.033333,0.333333,0.021802,0.133333,0.02381,0.3125,0.142857,0.277778,0.086957,0
0.081633,0.033333,0.09375,0,0.066667,0.047619,0.458333,0.039966,0.555556,0.130435,0
0,0,0,0,0,0,1,0.005952,0,0,0
