f1,f4,f5,f6,f8,f9,f10,f11,f15,f19,class
0.017857,0.0375,0.023438,0.000665,0.103448,0.046512,1,0.002427,0.666667,0.004237,0
0.160714,0.05,0.28125,0,0.137931,0.209302,0.194444,0.074703,0.34,0.021186,0
0.464286,0.0125,0.328125,0.008644,0,0.302326,0.300481,0.316343,0.253086,0.110169,0
0,0.2625,0,0,0.034483,0.023256,1,0,1,0.004237,1
0.035714,0.2375,0.023438,0.001995,0.034483,0.069767,1,0.001618,1,0.004237,1
0.017857,0.1,0.054688,0.000665,0.206897,0,1,0.016181,0.583333,0.004237,1
0.107143,0.075,0.226563,0.000665,0.172414,0.162791,0,0.100324,0.314286,0.050847,0
0,0.0625,0.007813,0,0.034483,0.023256,1,0.004045,1,0,1
0.142857,0.05,0.101563,0,0.034483,0.139535,0.2875,0.054746,0.416667,0.008475,1
0.089286,0.1,0.21875,0,0.206897,0,0.218182,0.10302,0.479167,0.004237,1
0.25,0.2375,0.382813,0,0.62069,0.302326,0.238095,0.149946,0.251852,0.025424,1
0.071429,0.025,0.132813,0,0.034483,0.093023,0.275,0.102211,0.4,0.059322,1
0.285714,0.15,0.421875,0.007979,0.344828,0.302326,0.3125,0.108684,0.158824,0.029661,1
0.232143,0.225,0.125,0.060505,0,0.325581,1,0.050701,0.297619,0.004237,1
0.017857,0.075,0.023438,0.000665,0.068966,0,1,0.010248,0.666667,0.016949,0
0.089286,0.05,0.070313,0.009973,0.103448,0.139535,1,0.008091,0.666667,0.004237,0
0,0.175,0.007813,0,0.103448,0,1,0.002697,1,0,0
0.196429,0.0875,0.351563,0,0.241379,0.27907,0.306818,0.092233,0.208333,0.029661,1
0.232143,0.2875,0.265625,0,0.034483,0.325581,0.25,0.091694,0.428571,0.021186,1
0,0.0375,0,0,0,0,1,0.023193,0,0,0
0.625,0.0625,0.398438,0.1875,0.137931,0.162791,0.36015,0.769687,0.405714,0.432203,1
0.017857,0.1,0.078125,0,0.206897,0,0,0.028317,0.571429,0.004237,1
0.089286,0.3125,0.054688,0.009973,0.034483,0.139535,1,0.005394,0.583333,0.004237,0
0.089286,0.15,0.085938,0.000665,0.37931,0.139535,0.32,0.046386,0.35,0.025424,0
0.25,0.1625,0.414063,0.027261,0.37931,0.232558,0.402381,0.181769,0.237037,0.012712,0
0.071429,0.125,0.273438,0.00133,0.310345,0,0.3125,0.085761,0.333333,0.004237,1
0.125,0.0375,0.140625,0.007979,0.068966,0.093023,0.333333,0.033441,0.3,0.004237,0
0.214286,0.5625,0.296875,0.047872,0.241379,0.27907,0.416667,0.066882,0.230769,0.038136,0
0.142857,0.1125,0.242188,0,0.275862,0.209302,0.145833,0.091424,0.259259,0.04661,0
0.089286,0.1125,0.210938,0,0.275862,0.139535,0,0.039374,0.333333,0.016949,0
0.25,0.1125,0.21875,0.009973,0.275862,0.255814,0.3,0.140777,0.285714,0.042373,0
0.035714,0.175,0.023438,0,0.034483,0.046512,0.333333,0.006472,0.583333,0.004237,0
0.035714,0.05,0.03125,0.000665,0.034483,0.023256,0.25,0.004315,0.666667,0.004237,0
0.035714,0,0.054688,0.001995,0,0.023256,0.5,0.007012,0.333333,0.008475,0
0.142857,0.0625,0.132813,0,0.103448,0.186047,0.25,0.329827,0.5,0.012712,1
0.089286,0.0625,0.132813,0.003324,0,0.023256,0.3,0.023463,0.7,0.004237,0
0.267857,0.125,0.3125,0.006649,0.310345,0.348837,0.066667,0.06904,0.375,0.008475,1
0.071429,0.1875,0.046875,0.006649,0.206897,0.093023,1,0.003506,0.466667,0.004237,0
0.160714,0.1,0.25,0.016622,0.241379,0.232558,0.361111,0.047735,0.228571,0.004237,1
0.071429,0.075,0.148438,0,0.172414,0.116279,0.25,0.037756,0.4,0.004237,0
