f1,f4,f5,f6,f8,f9,f10,f11,f15,f19,class
0.052632,0.113095,0.085575,0,0.279412,0.048,0.041667,0.052182,0.306122,0.021739,1
0.090226,0.130952,0.056235,0,0.102941,0.096,0.181818,0.034403,0.21875,0.036232,1
0.518797,0.214286,0.484108,0.299717,0.264706,0.512,0.502897,0.600554,0.102076,0.355072,1
0.368421,0.25,0.244499,0.151273,0.176471,0.368,0.5,0.170861,0.122222,0.115942,1
0.007519,0.065476,0.002445,0,0.014706,0.008,1,0.000231,1,0.007246,0
0.067669,0.017857,0.022005,0.004631,0.014706,0.072,1,0.002078,0.333333,0.007246,0
0.022556,0,0.00978,0.000129,0,0.016,0.25,0.054029,1,0.007246,1
0.045113,0.02381,0.02445,0.001672,0.058824,0.04,0.4,0.009467,0.4,0.007246,0
0.067669,0.017857,0.05868,0,0.029412,0,0.446429,0.081505,0.62963,0.021739,0
0.007519,0,0.00489,0,0,0.008,1,0.001154,1,0,0
0.030075,0,0.02445,0,0,0,0.633333,0.02078,0.833333,0.028986,0
0.007519,0.017857,0.002445,0,0,0,1,0.008312,0,0,1
0.052632,0.047619,0.026895,0.002444,0.088235,0.048,0.416667,0.009005,0.333333,0.007246,1
0.007519,0.02381,0.002445,0,0.029412,0.008,1,0.000231,1,0.007246,0
0.082707,0.017857,0.0489,0.006818,0.014706,0,0.45,0.02078,0.4,0.014493,0
0.030075,0.029762,0.026895,0.000515,0.073529,0.032,1,0.014546,0.5,0.036232,1
0.022556,0.035714,0.00978,0,0.014706,0.024,0.28125,0.015008,0.571429,0,0
0.037594,0.041667,0.01956,0.000772,0.102941,0.04,0.458333,0.009467,0.325,0.007246,0
0.120301,0.178571,0.114914,0.009519,0.338235,0.112,0.3,0.051951,0.236111,0.014493,0
0.015038,0.011905,0.00489,0.000129,0.014706,0.016,1,0.000462,0.666667,0.007246,0
0.06015,0.083333,0.09291,0,0.205882,0.056,0.404762,0.058878,0.265306,0.021739,0
0.052632,0.077381,0.07335,0,0.191176,0.056,0,0.024475,0.285714,0.007246,0
0.067669,0.125,0.036675,0.004631,0.117647,0.064,1,0.011776,0.285714,0.014493,1
0.090226,0.017857,0.107579,0.008233,0.029412,0,0.490909,0.135304,0.318182,0.057971,0
0.030075,0.404762,0.00978,0.000772,0,0.032,1,0.000924,0.583333,0.007246,0
0.037594,0.136905,0.08802,0.000257,0.323529,0.032,0.5,0.12399,0.4,0.123188,1
0.045113,0.077381,0.124694,0.000386,0.191176,0.048,1,0.19649,0.388889,0.036232,1
0.06015,0.017857,0.051345,0,0.044118,0.064,0,0.019626,0.34375,0.014493,0
0.037594,0.125,0.01467,0.001286,0.029412,0.04,1,0.001847,0.4,0.007246,0
0.022556,0.053571,0.026895,0.000386,0.132353,0.024,1,0.008543,0.533333,0.007246,0
0.037594,0.029762,0.041565,0.001286,0.058824,0.04,1,0.017086,0.466667,0.115942,1
0.150376,0.327381,0.256724,0.016722,0.808824,0.12,0.423977,0.321635,0.236364,0.07971,1
0.037594,0.107143,0.03912,0.001029,0,0.024,0.623148,0.490649,0.333333,0.014493,1
0.090226,0.095238,0.114914,0.002315,0.205882,0.072,0.272727,0.076426,0.229167,0.028986,1
0.045113,0.065476,0.061125,0.000386,0.161765,0.032,0.375,0.060263,0.4,0.072464,1
0.030075,0.10119,0.017115,0,0.235294,0.032,0.083333,0.021473,0.4,0.086957,0
0.150376,0.291667,0.127139,0.024183,0.529412,0.152,1,0.068806,0.245,0.028986,0
0.030075,0.029762,0.01467,0.000515,0.058824,0.032,0.333333,0.006003,0.45,0.007246,0
0,0.035714,0,0,0.014706,0,1,0.050335,0,0,0
0.007519,0.071429,0.00489,0,0,0.008,1,0.001154,1,0,0
0.097744,0.071429,0.07824,0.004374,0.132353,0.104,0.413194,0.066728,0.201923,0.014493,0
0.037594,0.142857,0.041565,0.001286,0.147059,0.032,1,0.01293,0.44,0.007246,0
0.052632,0.029762,0.08313,0.00193,0.073529,0.032,0.416667,0.043639,0.233333,0.014493,0
0.045113,0.232143,0.176039,0,0.544118,0.04,0.26,0.126991,0.305556,0.217391,1
0.075188,0.125,0.127139,0.005017,0.264706,0.048,0.511111,0.070192,0.333333,0.036232,1
0.090226,0.017857,0.107579,0.008233,0.029412,0,0.490909,0.135304,0.318182,0.057971,0
0.022556,0.005952,0.00978,0.000129,0.014706,0.016,0.25,0.115216,1,0.007246,1
0.030075,0.107143,0.178484,0.000772,0.25,0.024,1,0.106673,0.5,0.021739,1
0.082707,0.011905,0.0489,0.006818,0.014706,0,0.45,0.02078,0.4,0.014493,0
0.105263,0.065476,0.07824,0,0.161765,0.088,0.365385,0.037636,0.234694,0.021739,1
0.007519,0.017857,0.00489,0,0.014706,0.008,1,0.000924,1,0,0
0.037594,0.011905,0.031785,0.000515,0.014706,0.032,0.4375,0.026553,0.5,0.050725,1
0.654135,0.565476,0.305623,0.425392,0.25,0.616,0.462625,0.294158,0.091278,0.050725,1
0.233083,0.619048,0.136919,0.055956,0.132353,0.24,0.4,0.063496,0.190616,0.021739,1
0.090226,0.065476,0.0489,0.003087,0.014706,0.096,1,0.035327,0.527778,0.014493,0
0.007519,0,0.002445,0,0,0.008,1,0.000231,1,0.007246,1
0.030075,0.071429,0.031785,0.000772,0.176471,0.032,1,0.013623,0.4375,0.021739,0
0.218045,0.011905,0.202934,0.038333,0.029412,0.168,0.439626,0.184946,0.344828,0.072464,1
0.045113,0.02381,0.041565,0,0.014706,0.048,0.35,0.042254,0.722222,0.050725,1
0.052632,0.059524,0.266504,0.002701,0.147059,0.016,1,0.468252,0.2,1,1
0.082707,0.011905,0.0489,0.006818,0.014706,0,0.45,0.02078,0.4,0.014493,0
0.007519,0.005952,0.002445,0,0,0.008,1,0.000231,1,0.007246,0
0.015038,0.029762,0.01467,0.000129,0.073529,0.016,1,0.003233,0.75,0.007246,0
0.007519,0,0.002445,0,0,0.008,1,0.000462,1,0.007246,1
0.082707,0.053571,0.070905,0.0009,0.102941,0.064,0.403333,0.07481,0.35,0.036232,0
0.06015,0.119048,0.085575,0,0.279412,0.048,0.214286,0.048026,0.267857,0.065217,0
0.015038,0.011905,0.007335,0.000129,0,0,0.5,0.008774,1,0.014493,0
0.105263,0.053571,0.0978,0,0.117647,0.104,0.038462,0.040175,0.295918,0.007246,0
0.150376,0.029762,0.05379,0,0,0.16,0.171053,0.114754,0.6,0.028986,1
0.045113,0.119048,0.08802,0,0.294118,0.04,0.25,0.066728,0.285714,0.050725,1
0.112782,0.041667,0.061125,0.006303,0.073529,0.096,0.416667,0.032094,0.208333,0.043478,0
0.022556,0.02381,0.03423,0.000129,0.058824,0.016,0.25,0.008543,0.555556,0.007246,0
0.022556,0,0.00978,0.000129,0,0.016,0.25,0.288155,1,0.007246,1
0.278195,0.279762,0.090465,0.08567,0,0.296,1,0.008543,0.191892,0.007246,1
0.037594,0.005952,0.03912,0.001029,0.014706,0.024,0.623975,0.98707,0.333333,0.014493,1
0.007519,0.017857,0.002445,0,0,0.008,1,0.000231,1,0.007246,0
0.06015,0.005952,0.01956,0.003602,0.014706,0.064,1,0.001847,0.28125,0.007246,0
0.030075,0.071429,0.02934,0.000772,0.147059,0.024,1,0.009928,0.4,0.007246,0
0.120301,0.154762,0.124694,0.006432,0.279412,0.128,0.373333,0.082198,0.1875,0.065217,1
0.007519,0.017857,0.002445,0,0.029412,0.008,1,0.000231,1,0.007246,0
0.037594,0.005952,0.03912,0.001029,0.014706,0.024,0.623148,0.490649,0.333333,0.014493,1
0.015038,0.035714,0.01956,0.000129,0.088235,0.016,1,0.005311,0.75,0.007246,0
0.06015,0.011905,0.046455,0,0.014706,0.064,0.328571,0.042254,0.35,0.036232,0
0.037594,0.005952,0.03912,0.001029,0.014706,0.024,0.623975,0.98707,0.333333,0.014493,1
0.037594,0.005952,0.01467,0,0,0.04,0.125,0.007389,0.533333,0.014493,1
0.338346,0.017857,0.210269,0.127348,0.044118,0.296,0.511364,0.352805,0.172222,0.072464,1
0.263158,0.672619,0.136919,0.075508,0.294118,0.272,0.495675,0.078273,0.202614,0.021739,0
0.082707,0.053571,0.051345,0.00373,0.058824,0.088,0.4125,0.031171,0.340909,0.014493,1
0.225564,0.02381,0.166259,0.026627,0.029412,0.224,0.310345,0.114061,0.2,0.036232,0
0.075188,0.017857,0.056235,0,0.044118,0.08,0.25,0.026784,0.35,0.028986,0
0.097744,0.071429,0.0489,0.006946,0.132353,0.096,0.45,0.027476,0.21875,0.014493,0
0.052632,0.065476,0.114914,0.00193,0.132353,0.024,0.166667,0.061879,0.5,0.007246,1
0.007519,0,0.00489,0,0,0.008,1,0.001154,1,0,0
0.022556,0.035714,0.01467,0.000386,0.088235,0.024,1,0.009467,0.444444,0.043478,1
0.037594,0.005952,0.03912,0.001029,0.014706,0.024,0.623148,0.490649,0.333333,0.014493,1
0.082707,0.113095,0.102689,0,0.279412,0.088,0.32,0.08774,0.204545,0.253623,1
0.06015,0.172619,0.110024,0,0.426471,0.064,0.071429,0.055645,0.270833,0.043478,0
